"year","state","month","number","date"
2013,"Distrito Federal","Setembro",31,2013-01-01
2012,"Sao Paulo","Agosto",435,2012-01-01
2011,"Rondonia","Junho",130,2011-01-01
2001,"Santa Catarina","Maio",2,2001-01-01
2003,"Sao Paulo","Mar�o",86,2003-01-01
2015,"Sergipe","Maio",11,2015-01-01
2008,"Alagoas","Julho",0,2008-01-01
2014,"Santa Catarina","Outubro",122,2014-01-01
2017,"Sao Paulo","Junho",217,2017-01-01
2004,"Santa Catarina","Outubro",704,2004-01-01
2008,"Santa Catarina","Setembro",233,2008-01-01
2011,"Sergipe","Abril",12,2011-01-01
2003,"Bahia","Novembro",533,2003-01-01
2007,"Mato Grosso","Setembro",25.963,2007-01-01
2001,"Paraiba","Janeiro",32,2001-01-01
2008,"Sergipe","Janeiro",100,2008-01-01
2006,"Espirito Santo","Abril",1,2006-01-01
2008,"Amapa","Abril",2,2008-01-01
2006,"Ceara","Junho",0,2006-01-01
2004,"Tocantins","Mar�o",23,2004-01-01
2001,"Roraima","Dezembro",76,2001-01-01
2006,"Roraima","Dezembro",101,2006-01-01
2013,"Minas Gerais","Mar�o",110,2013-01-01
2014,"Minas Gerais","Fevereiro",157,2014-01-01
2008,"Sao Paulo","Junho",25,2008-01-01
1998,"Maranhao","Novembro",2.237,1998-01-01
2009,"Amazonas","Maio",3,2009-01-01
2014,"Pernambuco","Outubro",174,2014-01-01
2009,"Rio","Fevereiro",15,2009-01-01
2005,"Paraiba","Outubro",155,2005-01-01
2014,"Paraiba","Outubro",70,2014-01-01
2015,"Roraima","Julho",5,2015-01-01
2013,"Rio","Julho",0,2013-01-01
2005,"Minas Gerais","Dezembro",65,2005-01-01
2016,"Rio","Junho",4,2016-01-01
2009,"Mato Grosso","Agosto",2.25,2009-01-01
2012,"Pernambuco","Agosto",27,2012-01-01
2017,"Bahia","Novembro",174,2017-01-01
1999,"Amapa","Maio",0,1999-01-01
2007,"Roraima","Julho",3,2007-01-01
2005,"Sao Paulo","Novembro",163,2005-01-01
2005,"Amapa","Abril",0,2005-01-01
2005,"Sergipe","Abril",8,2005-01-01
2003,"Sao Paulo","Dezembro",58,2003-01-01
2001,"Mato Grosso","Mar�o",24,2001-01-01
2000,"Roraima","Maio",7,2000-01-01
2015,"Sao Paulo","Fevereiro",69,2015-01-01
1998,"Sergipe","Setembro",0,1998-01-01
2003,"Paraiba","Maio",115,2003-01-01
2012,"Pernambuco","Maio",36,2012-01-01
2003,"Tocantins","Maio",96,2003-01-01
2006,"Rio","Dezembro",101,2006-01-01
2009,"Rio","Abril",145,2009-01-01
2006,"Par�","Novembro",2.883,2006-01-01
2017,"Rondonia","Novembro",372,2017-01-01
2003,"Roraima","Fevereiro",767,2003-01-01
2009,"Rio","Novembro",4,2009-01-01
2009,"Rondonia","Novembro",128,2009-01-01
1999,"Mato Grosso","Abril",76,1999-01-01
2016,"Piau","Mar�o",53,2016-01-01
2014,"Amapa","Maio",0,2014-01-01
2007,"Mato Grosso","Setembro",4.446,2007-01-01
2012,"Amazonas","Dezembro",80,2012-01-01
2002,"Paraiba","Dezembro",163,2002-01-01
1998,"Rio","Julho",5,1998-01-01
2008,"Minas Gerais","Abril",113,2008-01-01
2010,"Distrito Federal","Abril",8,2010-01-01
2011,"Espirito Santo","Abril",3,2011-01-01
2009,"Paraiba","Dezembro",30,2009-01-01
2003,"Pernambuco","Agosto",26,2003-01-01
2000,"Tocantins","Agosto",1.949,2000-01-01
1998,"Amapa","Abril",0,1998-01-01
2005,"Rio","Mar�o",153,2005-01-01
2015,"Paraiba","Maio",6,2015-01-01
2010,"Acre","Outubro",292,2010-01-01
2010,"Roraima","Dezembro",73,2010-01-01
2006,"Minas Gerais","Maio",62,2006-01-01
2004,"Rondonia","Outubro",3.094,2004-01-01
2008,"Espirito Santo","Mar�o",5,2008-01-01
1998,"Amazonas","Mar�o",0,1998-01-01
2016,"Paraiba","Dezembro",8,2016-01-01
2015,"Rio","Dezembro",74,2015-01-01
2000,"Santa Catarina","Outubro",55,2000-01-01
2012,"Rondonia","Setembro",2.471,2012-01-01
2012,"Maranhao","Outubro",5,2012-01-01
2006,"Goias","Junho",70,2006-01-01
2012,"Par�","Mar�o",30,2012-01-01
2005,"Distrito Federal","Mar�o",0,2005-01-01
2000,"Santa Catarina","Julho",21,2000-01-01
2008,"Piau","Junho",33,2008-01-01
2006,"Paraiba","Dezembro",6,2006-01-01
2012,"Santa Catarina","Fevereiro",13,2012-01-01
2003,"Rio","Maio",1,2003-01-01
2011,"Tocantins","Maio",354,2011-01-01
2005,"Tocantins","Outubro",2.913,2005-01-01
2000,"Tocantins","Outubro",1.053,2000-01-01
2004,"Piau","Setembro",2.662,2004-01-01
2002,"Paraiba","Fevereiro",24,2002-01-01
2009,"Alagoas","Dezembro",55,2009-01-01
2008,"Alagoas","Setembro",9,2008-01-01
2003,"Espirito Santo","Setembro",252,2003-01-01
2015,"Sergipe","Novembro",47,2015-01-01
2005,"Bahia","Novembro",1.595,2005-01-01
2006,"Espirito Santo","Agosto",29,2006-01-01
2015,"Bahia","Junho",242,2015-01-01
2011,"Acre","Outubro",97,2011-01-01
2002,"Tocantins","Dezembro",39,2002-01-01
1999,"Tocantins","Julho",373,1999-01-01
2017,"Espirito Santo","Junho",37,2017-01-01
2004,"Paraiba","Julho",148,2004-01-01
2014,"Mato Grosso","Julho",193,2014-01-01
2016,"Sao Paulo","Junho",197,2016-01-01
2000,"Espirito Santo","Julho",16,2000-01-01
2005,"Paraiba","Dezembro",40,2005-01-01
2013,"Mato Grosso","Dezembro",195,2013-01-01
2016,"Par�","Dezembro",3.3,2016-01-01
1998,"Espirito Santo","Janeiro",0,1998-01-01
2007,"Bahia","Abril",64,2007-01-01
2014,"Sao Paulo","Julho",476,2014-01-01
2012,"Pernambuco","Mar�o",44,2012-01-01
2017,"Amazonas","Maio",40,2017-01-01
2014,"Espirito Santo","Outubro",89,2014-01-01
1999,"Mato Grosso","Fevereiro",69,1999-01-01
2007,"Rondonia","Outubro",2.023,2007-01-01
2006,"Amapa","Fevereiro",2,2006-01-01
2007,"Paraiba","Maio",14,2007-01-01
2016,"Alagoas","Setembro",18,2016-01-01
2007,"Piau","Novembro",939,2007-01-01
2017,"Espirito Santo","Fevereiro",8,2017-01-01
2017,"Paraiba","Mar�o",43,2017-01-01
2010,"Ceara","Maio",2,2010-01-01
2008,"Espirito Santo","Junho",4,2008-01-01
2006,"Maranhao","Dezembro",1.052,2006-01-01
1999,"Acre","Junho",0,1999-01-01
2013,"Mato Grosso","Julho",201,2013-01-01
2004,"Rio","Novembro",161,2004-01-01
2016,"Mato Grosso","Outubro",2.749,2016-01-01
2013,"Acre","Junho",8,2013-01-01
2009,"Paraiba","Setembro",28,2009-01-01
2002,"Acre","Setembro",1.949,2002-01-01
2005,"Paraiba","Outubro",157,2005-01-01
2012,"Rio","Maio",112,2012-01-01
2015,"Tocantins","Fevereiro",65,2015-01-01
2011,"Paraiba","Agosto",435,2011-01-01
1998,"Santa Catarina","Setembro",6,1998-01-01
1998,"Sao Paulo","Junho",451,1998-01-01
2005,"Mato Grosso","Setembro",1.87,2005-01-01
2008,"Sao Paulo","Mar�o",72,2008-01-01
2016,"Santa Catarina","Maio",26,2016-01-01
2012,"Rio","Julho",50,2012-01-01
2007,"Roraima","Maio",0,2007-01-01
2005,"Paraiba","Mar�o",13,2005-01-01
2003,"Rondonia","Fevereiro",10,2003-01-01
2009,"Mato Grosso","Janeiro",527,2009-01-01
2014,"Rondonia","Janeiro",12,2014-01-01
2002,"Goias","Agosto",1.428,2002-01-01
2007,"Tocantins","Julho",982,2007-01-01
2005,"Espirito Santo","Abril",4,2005-01-01
2012,"Sao Paulo","Fevereiro",81,2012-01-01
2014,"Bahia","Agosto",674,2014-01-01
2010,"Maranhao","Julho",2.323,2010-01-01
2004,"Paraiba","Dezembro",151,2004-01-01
2010,"Rio","Julho",7,2010-01-01
2007,"Acre","Junho",4,2007-01-01
2012,"Alagoas","Outubro",28,2012-01-01
2010,"Ceara","Abril",7,2010-01-01
2014,"Rio","Junho",54,2014-01-01
2006,"Ceara","Abril",1,2006-01-01
2000,"Alagoas","Junho",0,2000-01-01
1998,"Tocantins","Agosto",3.747,1998-01-01
2001,"Goias","Maio",85,2001-01-01
2009,"Rio","Setembro",90,2009-01-01
2003,"Rio","Julho",42,2003-01-01
2011,"Minas Gerais","Janeiro",61,2011-01-01
2008,"Espirito Santo","Dezembro",1,2008-01-01
2000,"Roraima","Outubro",25,2000-01-01
2008,"Tocantins","Outubro",2.832,2008-01-01
2001,"Distrito Federal","Setembro",12,2001-01-01
1999,"Rio","Janeiro",63,1999-01-01
2015,"Sergipe","Junho",3,2015-01-01
2013,"Tocantins","Setembro",2.445,2013-01-01
2008,"Santa Catarina","Agosto",51,2008-01-01
2017,"Rio","Agosto",819,2017-01-01
2000,"Piau","Junho",18,2000-01-01
2008,"Mato Grosso","Setembro",1.62,2008-01-01
2003,"Distrito Federal","Fevereiro",1,2003-01-01
2012,"Alagoas","Fevereiro",41,2012-01-01
2016,"Goias","Junho",289,2016-01-01
1999,"Sao Paulo","Novembro",398,1999-01-01
2000,"Amapa","Janeiro",2,2000-01-01
2012,"Rondonia","Agosto",2.209,2012-01-01
2009,"Espirito Santo","Setembro",57,2009-01-01
2004,"Bahia","Novembro",1.736,2004-01-01
2015,"Mato Grosso","Mar�o",190,2015-01-01
2012,"Roraima","Maio",18,2012-01-01
2002,"Rio","Fevereiro",1,2002-01-01
2002,"Par�","Abril",11,2002-01-01
2002,"Rio","Dezembro",45,2002-01-01
2009,"Rio","Julho",0,2009-01-01
2000,"Ceara","Novembro",669,2000-01-01
2010,"Amapa","Maio",2,2010-01-01
2002,"Rio","Julho",17,2002-01-01
2011,"Acre","Agosto",425,2011-01-01
2002,"Amazonas","Outubro",695,2002-01-01
2014,"Espirito Santo","Junho",9,2014-01-01
1998,"Maranhao","Janeiro",0,1998-01-01
2007,"Piau","Junho",303,2007-01-01
2013,"Mato Grosso","Agosto",677,2013-01-01
2013,"Mato Grosso","Janeiro",174,2013-01-01
2009,"Pernambuco","Mar�o",15,2009-01-01
1998,"Roraima","Dezembro",16,1998-01-01
2005,"Distrito Federal","Outubro",18,2005-01-01
2006,"Ceara","Fevereiro",23,2006-01-01
2001,"Tocantins","Mar�o",0,2001-01-01
1999,"Rio","Fevereiro",0,1999-01-01
2006,"Pernambuco","Setembro",147,2006-01-01
2006,"Espirito Santo","Julho",11,2006-01-01
1998,"Bahia","Maio",0,1998-01-01
2001,"Amazonas","Fevereiro",8,2001-01-01
2001,"Mato Grosso","Julho",591,2001-01-01
2012,"Bahia","Maio",326,2012-01-01
2004,"Roraima","Junho",6,2004-01-01
2001,"Bahia","Junho",98,2001-01-01
2012,"Distrito Federal","Setembro",64,2012-01-01
2008,"Bahia","Julho",271,2008-01-01
2001,"Espirito Santo","Mar�o",2,2001-01-01
2004,"Piau","Outubro",2.144,2004-01-01
2004,"Rio","Abril",3,2004-01-01
2002,"Alagoas","Setembro",14,2002-01-01
2013,"Goias","Junho",192,2013-01-01
2009,"Ceara","Junho",0,2009-01-01
2006,"Sao Paulo","Maio",88,2006-01-01
1999,"Alagoas","Janeiro",58,1999-01-01
1998,"Paraiba","Novembro",143,1998-01-01
2015,"Mato Grosso","Julho",1.533,2015-01-01
1998,"Rio","Julho",21,1998-01-01
2002,"Goias","Dezembro",115,2002-01-01
2006,"Bahia","Junho",68,2006-01-01
1999,"Mato Grosso","Janeiro",239,1999-01-01
2000,"Sao Paulo","Julho",770,2000-01-01
2008,"Sao Paulo","Fevereiro",30,2008-01-01
1999,"Paraiba","Fevereiro",2,1999-01-01
2007,"Alagoas","Junho",0,2007-01-01
1999,"Roraima","Maio",0,1999-01-01
2000,"Minas Gerais","Setembro",1.08,2000-01-01
2006,"Acre","Julho",33,2006-01-01
2006,"Sao Paulo","Julho",245,2006-01-01
1999,"Rio","Abril",21,1999-01-01
1998,"Amazonas","Fevereiro",0,1998-01-01
2011,"Par�","Julho",632,2011-01-01
2003,"Par�","Janeiro",900,2003-01-01
2016,"Bahia","Novembro",408,2016-01-01
2000,"Distrito Federal","Julho",15,2000-01-01
1999,"Paraiba","Julho",94,1999-01-01
2011,"Minas Gerais","Junho",304,2011-01-01
2012,"Rio","Novembro",13,2012-01-01
2009,"Santa Catarina","Agosto",759,2009-01-01
2016,"Amapa","Novembro",1.161,2016-01-01
2017,"Piau","Janeiro",85,2017-01-01
2013,"Ceara","Fevereiro",49,2013-01-01
2006,"Goias","Mar�o",29,2006-01-01
2013,"Ceara","Outubro",466,2013-01-01
2017,"Minas Gerais","Outubro",3.062,2017-01-01
2016,"Rondonia","Fevereiro",88,2016-01-01
2012,"Espirito Santo","Janeiro",1,2012-01-01
2000,"Sao Paulo","Dezembro",23,2000-01-01
2010,"Espirito Santo","Abril",7,2010-01-01
2010,"Rio","Agosto",24,2010-01-01
2011,"Mato Grosso","Novembro",1.103,2011-01-01
2010,"Ceara","Setembro",357,2010-01-01
1999,"Ceara","Agosto",131,1999-01-01
1998,"Paraiba","Dezembro",51,1998-01-01
2014,"Goias","Janeiro",80,2014-01-01
2004,"Espirito Santo","Dezembro",9,2004-01-01
2000,"Espirito Santo","Dezembro",3,2000-01-01
2004,"Ceara","Fevereiro",5,2004-01-01
2016,"Sao Paulo","Novembro",39,2016-01-01
2004,"Amapa","Abril",0,2004-01-01
2004,"Sergipe","Julho",0,2004-01-01
2017,"Rondonia","Maio",31,2017-01-01
2010,"Maranhao","Junho",494,2010-01-01
2005,"Sergipe","Julho",0,2005-01-01
2004,"Ceara","Agosto",61,2004-01-01
2015,"Acre","Junho",40,2015-01-01
2014,"Piau","Setembro",2.536,2014-01-01
2007,"Mato Grosso","Maio",62,2007-01-01
1998,"Acre","Setembro",509,1998-01-01
2003,"Espirito Santo","Julho",27,2003-01-01
2002,"Amapa","Outubro",557,2002-01-01
2008,"Paraiba","Outubro",80,2008-01-01
2004,"Paraiba","Setembro",34,2004-01-01
2007,"Amazonas","Maio",0,2007-01-01
2003,"Minas Gerais","Mar�o",81,2003-01-01
2004,"Maranhao","Setembro",4.673,2004-01-01
2008,"Ceara","Setembro",177,2008-01-01
2004,"Minas Gerais","Abril",48,2004-01-01
2005,"Roraima","Agosto",9,2005-01-01
2010,"Amazonas","Abril",11,2010-01-01
2015,"Maranhao","Novembro",4.35,2015-01-01
2009,"Sao Paulo","Julho",110,2009-01-01
2014,"Mato Grosso","Outubro",5.281,2014-01-01
2000,"Paraiba","Setembro",381,2000-01-01
2009,"Sao Paulo","Outubro",64,2009-01-01
2017,"Rio","Fevereiro",10,2017-01-01
2010,"Rio","Maio",3,2010-01-01
2006,"Distrito Federal","Agosto",40,2006-01-01
2006,"Par�","Outubro",5.964,2006-01-01
1998,"Alagoas","Outubro",20,1998-01-01
2004,"Amazonas","Maio",0,2004-01-01
2004,"Piau","Maio",80,2004-01-01
2005,"Rio","Fevereiro",4,2005-01-01
2002,"Rondonia","Novembro",639,2002-01-01
2013,"Rio","Abril",7,2013-01-01
2012,"Distrito Federal","Outubro",15,2012-01-01
2000,"Rondonia","Maio",13,2000-01-01
2001,"Rondonia","Outubro",796,2001-01-01
2013,"Sergipe","Janeiro",34,2013-01-01
2012,"Minas Gerais","Fevereiro",123,2012-01-01
2002,"Rio","Abril",6,2002-01-01
1998,"Rio","Abril",0,1998-01-01
2017,"Rio","Novembro",89,2017-01-01
2008,"Paraiba","Mar�o",43,2008-01-01
2013,"Par�","Agosto",2.161,2013-01-01
2011,"Rio","Outubro",76,2011-01-01
2003,"Goias","Junho",321,2003-01-01
2016,"Distrito Federal","Fevereiro",2,2016-01-01
2000,"Rondonia","Fevereiro",6,2000-01-01
2005,"Distrito Federal","Janeiro",0,2005-01-01
2006,"Rondonia","Outubro",1.148,2006-01-01
2001,"Espirito Santo","Agosto",30,2001-01-01
2001,"Rio","Dezembro",20,2001-01-01
2008,"Rio","Mar�o",3,2008-01-01
2014,"Acre","Novembro",56,2014-01-01
2013,"Paraiba","Dezembro",155,2013-01-01
2007,"Par�","Janeiro",467,2007-01-01
2017,"Mato Grosso","Abril",59,2017-01-01
2016,"Rondonia","Janeiro",93,2016-01-01
1999,"Paraiba","Novembro",38,1999-01-01
2012,"Santa Catarina","Abril",40,2012-01-01
2013,"Sergipe","Novembro",7,2013-01-01
2007,"Amapa","Junho",0,2007-01-01
2006,"Goias","Dezembro",7,2006-01-01
2013,"Minas Gerais","Maio",150,2013-01-01
2009,"Piau","Julho",302,2009-01-01
2010,"Goias","Mar�o",65,2010-01-01
2008,"Bahia","Novembro",3.175,2008-01-01
2004,"Amazonas","Dezembro",53,2004-01-01
2013,"Ceara","Setembro",177,2013-01-01
2011,"Par�","Outubro",3.141,2011-01-01
2012,"Rio","Abril",41,2012-01-01
2005,"Sao Paulo","Mar�o",73,2005-01-01
2016,"Minas Gerais","Janeiro",61,2016-01-01
2005,"Rio","Novembro",227,2005-01-01
1999,"Roraima","Janeiro",15,1999-01-01
2014,"Rio","Agosto",199,2014-01-01
2009,"Amapa","Fevereiro",0,2009-01-01
2014,"Par�","Junho",319,2014-01-01
2016,"Sao Paulo","Fevereiro",188,2016-01-01
2016,"Santa Catarina","Fevereiro",10,2016-01-01
2012,"Espirito Santo","Mar�o",35,2012-01-01
2017,"Goias","Novembro",117,2017-01-01
2006,"Acre","Maio",8,2006-01-01
1998,"Piau","Maio",0,1998-01-01
2005,"Santa Catarina","Fevereiro",46,2005-01-01
2012,"Ceara","Dezembro",631,2012-01-01
2015,"Distrito Federal","Fevereiro",0,2015-01-01
2003,"Rondonia","Mar�o",13,2003-01-01
2016,"Paraiba","Julho",504,2016-01-01
2013,"Bahia","Mar�o",363,2013-01-01
2008,"Pernambuco","Maio",0,2008-01-01
2008,"Tocantins","Maio",81,2008-01-01
2009,"Paraiba","Janeiro",35,2009-01-01
2000,"Paraiba","Abril",51,2000-01-01
2007,"Amapa","Julho",0,2007-01-01
2016,"Mato Grosso","Abril",161,2016-01-01
2011,"Rio","Setembro",22,2011-01-01
2009,"Paraiba","Fevereiro",9,2009-01-01
2016,"Pernambuco","Setembro",171,2016-01-01
2016,"Goias","Dezembro",64,2016-01-01
2005,"Sergipe","Outubro",11,2005-01-01
2013,"Amapa","Mar�o",0,2013-01-01
2014,"Distrito Federal","Outubro",34,2014-01-01
2014,"Mato Grosso","Abril",859,2014-01-01
1999,"Par�","Julho",982,1999-01-01
2001,"Pernambuco","Setembro",298,2001-01-01
2008,"Distrito Federal","Janeiro",0,2008-01-01
2016,"Amazonas","Julho",1.137,2016-01-01
2012,"Paraiba","Maio",86,2012-01-01
2016,"Paraiba","Abril",1,2016-01-01
2003,"Piau","Fevereiro",3,2003-01-01
2007,"Rio","Abril",4,2007-01-01
2007,"Ceara","Agosto",182,2007-01-01
2003,"Rio","Abril",2,2003-01-01
1999,"Minas Gerais","Mar�o",13,1999-01-01
2003,"Mato Grosso","Dezembro",1.622,2003-01-01
2013,"Mato Grosso","Janeiro",269,2013-01-01
2015,"Mato Grosso","Outubro",507,2015-01-01
2017,"Paraiba","Junho",0,2017-01-01
2005,"Rondonia","Outubro",2.559,2005-01-01
2006,"Alagoas","Outubro",32,2006-01-01
1998,"Pernambuco","Novembro",141,1998-01-01
2011,"Distrito Federal","Maio",3,2011-01-01
2010,"Rio","Julho",55,2010-01-01
2001,"Piau","Janeiro",29,2001-01-01
2007,"Bahia","Setembro",7.438,2007-01-01
2017,"Distrito Federal","Junho",23,2017-01-01
1999,"Tocantins","Maio",24,1999-01-01
2016,"Rio","Novembro",105,2016-01-01
2004,"Amapa","Novembro",949,2004-01-01
2003,"Maranhao","Setembro",5.878,2003-01-01
1999,"Mato Grosso","Setembro",2.969,1999-01-01
2012,"Paraiba","Fevereiro",15,2012-01-01
2006,"Amapa","Outubro",405,2006-01-01
2011,"Ceara","Maio",0,2011-01-01
2011,"Paraiba","Fevereiro",5,2011-01-01
2003,"Rio","Fevereiro",10,2003-01-01
2001,"Paraiba","Setembro",258,2001-01-01
2015,"Ceara","Junho",22,2015-01-01
1998,"Amapa","Fevereiro",0,1998-01-01
2012,"Piau","Janeiro",80,2012-01-01
2017,"Piau","Junho",193,2017-01-01
2005,"Bahia","Agosto",948,2005-01-01
2015,"Bahia","Maio",144,2015-01-01
2010,"Rio","Setembro",353,2010-01-01
2011,"Paraiba","Novembro",359,2011-01-01
2006,"Pernambuco","Mar�o",18,2006-01-01
2002,"Sao Paulo","Mar�o",111,2002-01-01
1999,"Santa Catarina","Novembro",84,1999-01-01
2008,"Amapa","Novembro",266,2008-01-01
2017,"Mato Grosso","Julho",2.79,2017-01-01
2003,"Ceara","Dezembro",2.436,2003-01-01
1998,"Amapa","Outubro",42,1998-01-01
2016,"Maranhao","Julho",2.096,2016-01-01
2017,"Amazonas","Fevereiro",52,2017-01-01
2003,"Amapa","Mar�o",1,2003-01-01
2006,"Paraiba","Novembro",60,2006-01-01
2005,"Maranhao","Janeiro",450,2005-01-01
2002,"Maranhao","Fevereiro",116,2002-01-01
2011,"Espirito Santo","Agosto",93,2011-01-01
2014,"Amapa","Fevereiro",2,2014-01-01
2012,"Sergipe","Setembro",1,2012-01-01
2006,"Piau","Setembro",1.618,2006-01-01
2011,"Par�","Janeiro",108,2011-01-01
2017,"Rio","Setembro",728,2017-01-01
2016,"Tocantins","Agosto",3.213,2016-01-01
2000,"Par�","Setembro",2.569,2000-01-01
2000,"Sao Paulo","Junho",606,2000-01-01
2008,"Paraiba","Mar�o",8,2008-01-01
2008,"Alagoas","Novembro",37,2008-01-01
2000,"Rondonia","Dezembro",7,2000-01-01
2000,"Sergipe","Fevereiro",6,2000-01-01
2008,"Rondonia","Outubro",1.482,2008-01-01
2008,"Rio","Outubro",53,2008-01-01
2014,"Paraiba","Junho",1,2014-01-01
2011,"Rio","Abril",12,2011-01-01
1999,"Santa Catarina","Janeiro",11,1999-01-01
2011,"Rondonia","Outubro",822,2011-01-01
2015,"Paraiba","Mar�o",7,2015-01-01
2009,"Distrito Federal","Setembro",5,2009-01-01
2004,"Distrito Federal","Fevereiro",0,2004-01-01
1998,"Roraima","Julho",1,1998-01-01
2010,"Par�","Novembro",4.417,2010-01-01
1999,"Piau","Outubro",1.438,1999-01-01
2005,"Rio","Setembro",189,2005-01-01
2015,"Paraiba","Setembro",599,2015-01-01
2014,"Minas Gerais","Setembro",3.454,2014-01-01
2012,"Distrito Federal","Junho",6,2012-01-01
2004,"Mato Grosso","Outubro",9.295,2004-01-01
2007,"Espirito Santo","Fevereiro",3,2007-01-01
2014,"Santa Catarina","Novembro",43,2014-01-01
2001,"Minas Gerais","Mar�o",13,2001-01-01
2017,"Maranhao","Junho",885,2017-01-01
2004,"Paraiba","Outubro",190,2004-01-01
2006,"Mato Grosso","Maio",269,2006-01-01
2012,"Sao Paulo","Julho",179,2012-01-01
2004,"Par�","Janeiro",579,2004-01-01
2008,"Paraiba","Abril",0,2008-01-01
2004,"Amazonas","Fevereiro",92,2004-01-01
2015,"Paraiba","Novembro",206,2015-01-01
1999,"Rio","Janeiro",32,1999-01-01
2016,"Santa Catarina","Mar�o",21,2016-01-01
2014,"Espirito Santo","Fevereiro",17,2014-01-01
2006,"Tocantins","Outubro",1.176,2006-01-01
2017,"Distrito Federal","Agosto",147,2017-01-01
2000,"Rio","Julho",6,2000-01-01
2010,"Par�","Fevereiro",102,2010-01-01
2010,"Tocantins","Julho",2.408,2010-01-01
2008,"Mato Grosso","Maio",34,2008-01-01
2011,"Maranhao","Janeiro",124,2011-01-01
2013,"Amapa","Abril",2,2013-01-01
1999,"Goias","Janeiro",14,1999-01-01
2001,"Distrito Federal","Julho",22,2001-01-01
2000,"Espirito Santo","Mar�o",1,2000-01-01
2008,"Paraiba","Novembro",39,2008-01-01
2014,"Sao Paulo","Novembro",56,2014-01-01
2000,"Rio","Maio",3,2000-01-01
2012,"Pernambuco","Janeiro",146,2012-01-01
2010,"Sao Paulo","Mar�o",111,2010-01-01
2015,"Bahia","Outubro",4.989,2015-01-01
2009,"Amazonas","Novembro",973,2009-01-01
2009,"Bahia","Setembro",3.61,2009-01-01
2001,"Amazonas","Julho",9,2001-01-01
2011,"Amazonas","Janeiro",53,2011-01-01
2006,"Paraiba","Mar�o",4,2006-01-01
2016,"Tocantins","Maio",778,2016-01-01
2009,"Sergipe","Junho",2,2009-01-01
2001,"Sergipe","Julho",0,2001-01-01
2017,"Amazonas","Outubro",1.581,2017-01-01
2009,"Paraiba","Novembro",428,2009-01-01
2009,"Tocantins","Dezembro",46,2009-01-01
2005,"Sao Paulo","Fevereiro",78,2005-01-01
2016,"Bahia","Agosto",724,2016-01-01
2004,"Santa Catarina","Maio",2,2004-01-01
2007,"Mato Grosso","Junho",141,2007-01-01
2013,"Pernambuco","Novembro",110,2013-01-01
2009,"Rio","Julho",56,2009-01-01
2009,"Goias","Janeiro",30,2009-01-01
2002,"Distrito Federal","Setembro",33,2002-01-01
2009,"Piau","Maio",12,2009-01-01
2000,"Mato Grosso","Outubro",6.062,2000-01-01
2000,"Sergipe","Novembro",0,2000-01-01
2016,"Maranhao","Mar�o",113,2016-01-01
2003,"Amapa","Fevereiro",0,2003-01-01
2002,"Rio","Maio",6,2002-01-01
2000,"Amapa","Junho",0,2000-01-01
2002,"Amazonas","Agosto",741,2002-01-01
2011,"Distrito Federal","Abril",1,2011-01-01
2006,"Rondonia","Dezembro",4,2006-01-01
2007,"Piau","Mar�o",31,2007-01-01
2008,"Mato Grosso","Dezembro",208,2008-01-01
2001,"Rio","Fevereiro",0,2001-01-01
2013,"Mato Grosso","Mar�o",158,2013-01-01
2001,"Amazonas","Novembro",244,2001-01-01
2015,"Maranhao","Junho",887,2015-01-01
2008,"Rio","Abril",0,2008-01-01
2015,"Paraiba","Novembro",18,2015-01-01
2006,"Acre","Outubro",316,2006-01-01
2016,"Par�","Outubro",5.281,2016-01-01
2012,"Mato Grosso","Maio",157,2012-01-01
2002,"Acre","Novembro",86,2002-01-01
1999,"Paraiba","Abril",3,1999-01-01
1999,"Paraiba","Dezembro",40,1999-01-01
1998,"Minas Gerais","Maio",0,1998-01-01
1998,"Tocantins","Janeiro",0,1998-01-01
2009,"Roraima","Junho",16,2009-01-01
2005,"Santa Catarina","Maio",21,2005-01-01
2012,"Paraiba","Mar�o",4,2012-01-01
2009,"Acre","Outubro",565,2009-01-01
2005,"Minas Gerais","Mar�o",107,2005-01-01
2011,"Sergipe","Dezembro",36,2011-01-01
1999,"Amazonas","Setembro",216,1999-01-01
2001,"Pernambuco","Abril",2,2001-01-01
2010,"Alagoas","Setembro",5,2010-01-01
2004,"Roraima","Julho",2,2004-01-01
1999,"Acre","Novembro",0,1999-01-01
2013,"Alagoas","Novembro",10,2013-01-01
2003,"Sergipe","Maio",2,2003-01-01
2014,"Alagoas","Maio",1,2014-01-01
1998,"Rondonia","Abril",0,1998-01-01
2006,"Tocantins","Junho",289,2006-01-01
2014,"Rondonia","Junho",92,2014-01-01
2004,"Bahia","Mar�o",115,2004-01-01
1999,"Sergipe","Fevereiro",25,1999-01-01
2002,"Paraiba","Agosto",1.593,2002-01-01
2000,"Santa Catarina","Dezembro",29,2000-01-01
2005,"Paraiba","Junho",0,2005-01-01
2000,"Rio","Dezembro",80,2000-01-01
2013,"Rondonia","Dezembro",143,2013-01-01
2001,"Paraiba","Mar�o",0,2001-01-01
2001,"Espirito Santo","Janeiro",1,2001-01-01
2000,"Amazonas","Junho",6,2000-01-01
2015,"Espirito Santo","Mar�o",25,2015-01-01
2015,"Rondonia","Fevereiro",22,2015-01-01
2003,"Alagoas","Dezembro",43,2003-01-01
2012,"Rondonia","Novembro",174,2012-01-01
